CODIGO,DESCRIPCION DEL ITEM,UNIDAD DE MEDIDA,PRECIO UNITARIO
55200070025,TIJERA PARA PODAR DE DOS MANOS DE 75 cm,UNIDAD,0.0
55200070026,TIJERA PARA PODAR DE DOS MANOS 58 cm,UNIDAD,0.0
55200070035,TIJERA PARA PODAR DE 40 cm CON MANGO TELESCOPICO EXTENDIBLE HASTA 90 cm,UNIDAD,0.0
55200080004,ESCOBA METALICA PARA JARDIN DE 15 DIENTES,UNIDAD,0.0
55200080006,ESCOBA DE PLASTICO PARA JARDIN DE 26 DIENTES,UNIDAD,0.0
55200090003,GUADAÑA Nº 5,UNIDAD,0.0
55200090014,GUADAÑA Nº 8,UNIDAD,0.0
55200090064,GOTERO AUTOCOMPENSADO 2 LT/HR,UNIDAD,0.0
55200090065,GOTERO AUTOCOMPENSADO 8 LT/HR,UNIDAD,0.0
55200090082,GOTERO AUTOCOMPENSADO DE 4 L/h,UNIDAD,0.0
55200100003,ASPERSOR GIRATORIO DE PLASTICO,UNIDAD,0.0
55200100005,ASPERSOR DE PVC DE 3/4 in,UNIDAD,0.0
55300010057,HILO DE NAILON PARA MOTOGUADAÑA DE 3 mm X 240 m,UNIDAD,0.0
55300010066,BOLSA COLECTORA PARA CORTADORA DE CESPED,UNIDAD,0.0
55300010086,GRASA PARA HUSQVARNA COD. REF. 502512701,UNIDAD,0.0
55300010168,FUNDA DE BUJIA PARA MOTOGUADAÑA COD. REF. 179,UNIDAD,0.0
55400010001,TIERRA DE CHACRA,PIE CUBICO,0.0
55400010011,TIERRA PREPARADA PARA JARDINERIA X 25 kg,UNIDAD,0.0
55400010020,TIERRA PREPARADA PARA JARDINERIA X 15 kg,UNIDAD,0.0
55400010021,TIERRA PREPARADA PARA JARDINERIA X 40 kg,UNIDAD,0.0
55400010024,TIERRA PREPARADA PARA JARDINERIA X 5 kg,UNIDAD,0.0
55400010027,TIERRA PREPARADA PARA JARDINERIA X 30 kg,UNIDAD,0.0
55400010029,TIERRA PREPARADA PARA JARDINERIA X 10 kg,UNIDAD,0.0
55400010031,TIERRA PREPARADA PARA JARDINERIA,KILOGRAMO,0.0
55400010032,TIERRA PREPARADA PARA JARDINERIA,M3,0.0
55400030001,ESPATULA DE ACERO Nº 3,UNIDAD,0.0
68000100007,ALARMA DUAL DE TEMPERATURA Y ENERGIA ELECTRICA PARA REFRIGERADORA CONGELADORA,UNIDAD,0.0
68000100010,MANOMETRO DE ALTA PRESION DE 0 A 550 PSI PARA EQUIPO DE AIRE ACONDICIONADO,UNIDAD,0.0
68000220001,CONDENSADOR MULTIPLE,UNIDAD,0.0
68000220002,"CONDENSADOR 3 FASE 36,000 BTU/Hr 230 V 60 Hz",UNIDAD,0.0
68000250004,COMPRESOR DE 1/2 HP 220 V 60 HZ ALTA TEMPERATURA PARA GAS R-134,UNIDAD,0.0
68000250005,CONDENSADOR ELECTRICO PARA REFRIGERADORA COD. REF. MK144PIS,UNIDAD,0.0
68000280012,COMPRESOR DE 2.5 HP PARA CAMARA FRIGORIFICA,UNIDAD,0.0
68000330004,COMPRESOR PARA EQUIPO DE AIRE ACONDICIONADO,UNIDAD,0.0
68000330022,COMPRESOR PARA EQUIPO DE AIRE ACONDICIONADO 4 HP DE 49200 BTU/HR,UNIDAD,0.0
68000440013,TERMOSTATO REGULABLE DIGITAL 115 VAC PARA EQUIPO DE AIRE ACONDICIONADO,UNIDAD,0.0
